gene-ID	process	category
LOC-Os08g27010	'PS.lightreaction.photosystem II.LHC-II'	light_reaction
LOC-Os11g13890	'PS.lightreaction.photosystem II.LHC-II'	light_reaction
LOC-Os03g39610	'PS.lightreaction.photosystem II.LHC-II'	light_reaction
LOC-Os02g52650	'PS.lightreaction.photosystem II.LHC-II'	light_reaction
LOC-Os09g17740	'PS.lightreaction.photosystem II.LHC-II'	light_reaction
LOC-Os09g26810	'PS.lightreaction.photosystem II.LHC-II'	light_reaction
LOC-Os06g21590	'PS.lightreaction.photosystem II.LHC-II'	light_reaction
LOC-Os04g38410	'PS.lightreaction.photosystem II.LHC-II'	light_reaction
LOC-Os07g37240	'PS.lightreaction.photosystem II.LHC-II'	light_reaction
LOC-Os07g37550	'PS.lightreaction.photosystem II.LHC-II'	light_reaction
LOC-Os02g10390	'PS.lightreaction.photosystem II.LHC-II'	light_reaction
LOC-Os08g33820	'PS.lightreaction.photosystem II.LHC-II'	light_reaction
LOC-Os09g12540	'PS.lightreaction.photosystem II.LHC-II'	light_reaction
LOC-Os07g38960	'PS.lightreaction.photosystem II.LHC-II'	light_reaction
LOC-Os01g52240	'PS.lightreaction.photosystem II.LHC-II'	light_reaction
LOC-Os01g41710	'PS.lightreaction.photosystem II.LHC-II'	light_reaction
LOC-Os04g16874	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	light_reaction
LOC-Os07g36080	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	light_reaction
LOC-Os10g21192	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	light_reaction
LOC-Os01g64960	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	light_reaction
LOC-Os10g39880	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	light_reaction
LOC-Os10g32400	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	light_reaction
LOC-Os02g42000	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	light_reaction
LOC-Os07g04840	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	light_reaction
LOC-Os02g24632	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	light_reaction
LOC-Os01g43070	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	light_reaction
LOC-Os07g01480	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	light_reaction
LOC-Os08g15322	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	light_reaction
LOC-Os12g37710	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	light_reaction
LOC-Os03g21560	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	light_reaction
LOC-Os08g39430	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	light_reaction
LOC-Os01g31690	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	light_reaction
LOC-Os12g29570	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	light_reaction
LOC-Os08g35420	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	light_reaction
LOC-Os04g16872	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	light_reaction
LOC-Os06g39708	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	light_reaction
LOC-Os04g16770	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	light_reaction
LOC-Os10g21322	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	light_reaction
LOC-Os10g21212	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	light_reaction
LOC-Os07g05360	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	light_reaction
LOC-Os10g21298	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	light_reaction
LOC-Os03g17174	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	light_reaction
LOC-Os12g08830	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	light_reaction
LOC-Os02g36850	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	light_reaction
LOC-Os01g59090	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	light_reaction
LOC-Os08g15296	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	light_reaction
LOC-Os12g19580	'PS.lightreaction.photosystem II.PSII polypeptide subunits'	light_reaction
