gene_ID	process	category
Sobic.007G108900	PS.lightreaction.photosystem II.LHC-II	light_reaction
Sobic.002G338000	PS.lightreaction.photosystem II.LHC-II	light_reaction
Sobic.010G189300	PS.lightreaction.photosystem II.LHC-II	light_reaction
Sobic.003G209800	PS.lightreaction.photosystem II.LHC-II	light_reaction
Sobic.002G352100	PS.lightreaction.photosystem II.LHC-II	light_reaction
Sobic.002G215000	PS.lightreaction.photosystem II.LHC-II	light_reaction
Sobic.002G352100	PS.lightreaction.photosystem II.LHC-II	light_reaction
Sobic.009G234600	PS.lightreaction.photosystem II.LHC-II	light_reaction
Sobic.003G209900	PS.lightreaction.photosystem II.LHC-II	light_reaction
Sobic.002G215000	PS.lightreaction.photosystem II.LHC-II	light_reaction
Sobic.002G289100	PS.lightreaction.photosystem II.LHC-II	light_reaction
Sobic.006G264201	PS.lightreaction.photosystem II.LHC-II	light_reaction
Sobic.002G288300	PS.lightreaction.photosystem II.LHC-II	light_reaction
Sobic.002G159100	PS.lightreaction.photosystem II.LHC-II	light_reaction
Sobic.004G056900	PS.lightreaction.photosystem II.LHC-II	light_reaction
Sobic.005G087000	PS.lightreaction.photosystem II.LHC-II	light_reaction
Sobic.007G136900	PS.lightreaction.photosystem II.LHC-II	light_reaction
Sobic.004G308700	PS.lightreaction.photosystem II.LHC-II	light_reaction
Sobic.001G177000	PS.lightreaction.photosystem II.LHC-II	light_reaction
Sobic.010G189300	PS.lightreaction.photosystem II.LHC-II	light_reaction
Sobic.003G168800	PS.lightreaction.photosystem II.PSII polypeptide subunits	light_reaction
Sobic.004G023400	PS.lightreaction.photosystem II.PSII polypeptide subunits	light_reaction
Sobic.001G527000	PS.lightreaction.photosystem II.PSII polypeptide subunits	light_reaction
Sobic.003G221700	PS.lightreaction.photosystem II.PSII polypeptide subunits	light_reaction
Sobic.003G370000	PS.lightreaction.photosystem II.PSII polypeptide subunits	light_reaction
Sobic.002G033800	PS.lightreaction.photosystem II.PSII polypeptide subunits	light_reaction
Sobic.010G241000	PS.lightreaction.photosystem II.PSII polypeptide subunits	light_reaction
Sobic.007G207800	PS.lightreaction.photosystem II.PSII polypeptide subunits	light_reaction
Sobic.002G329600	PS.lightreaction.photosystem II.PSII polypeptide subunits	light_reaction
Sobic.003G221700	PS.lightreaction.photosystem II.PSII polypeptide subunits	light_reaction
Sobic.003G419900	PS.lightreaction.photosystem II.PSII polypeptide subunits	light_reaction
Sobic.010G241000	PS.lightreaction.photosystem II.PSII polypeptide subunits	light_reaction
Sobic.001G090700	PS.lightreaction.photosystem II.PSII polypeptide subunits	light_reaction
Sobic.004G222700	PS.lightreaction.photosystem II.PSII polypeptide subunits	light_reaction
Sobic.001G382100	PS.lightreaction.photosystem II.PSII polypeptide subunits	light_reaction
Sobic.003G169100	PS.lightreaction.photosystem II.PSII polypeptide subunits	light_reaction
Sobic.008G065000	PS.lightreaction.photosystem II.PSII polypeptide subunits	light_reaction
Sobic.007G071500	PS.lightreaction.photosystem II.PSII polypeptide subunits	light_reaction
Sobic.008G131700	PS.lightreaction.photosystem II.PSII polypeptide subunits	light_reaction
Sobic.003G221700	PS.lightreaction.photosystem II.PSII polypeptide subunits	light_reaction
Sobic.007G023300	PS.lightreaction.photosystem II.PSII polypeptide subunits	light_reaction
Sobic.001G415400	PS.lightreaction.photosystem II.PSII polypeptide subunits	light_reaction
Sobic.002G030200	PS.lightreaction.photosystem II.PSII polypeptide subunits	light_reaction
Sobic.003G172300	PS.lightreaction.photosystem II.PSII polypeptide subunits	light_reaction
Sobic.006G084500	PS.lightreaction.photosystem II.PSII polypeptide subunits	light_reaction
Sobic.003G328200	PS.lightreaction.photosystem II.PSII polypeptide subunits	light_reaction
Sobic.002G032700	PS.lightreaction.photosystem II.PSII polypeptide subunits	light_reaction
Sobic.001G415400	PS.lightreaction.photosystem II.PSII polypeptide subunits	light_reaction
Sobic.004G191200	PS.lightreaction.photosystem II.PSII polypeptide subunits	light_reaction
Sobic.006G204800	PS.lightreaction.photosystem I	light_reaction
Sobic.006G224300	PS.lightreaction.photosystem I	light_reaction
Sobic.003G203000	PS.lightreaction.photosystem I.LHC-I	light_reaction
Sobic.007G136900	PS.lightreaction.photosystem I.LHC-I	light_reaction
Sobic.007G136900	PS.lightreaction.photosystem I.LHC-I	light_reaction
Sobic.002G352100	PS.lightreaction.photosystem I.LHC-I	light_reaction
Sobic.008G063500	PS.lightreaction.photosystem I.PSI polypeptide subunits	light_reaction
Sobic.001G046900	PS.lightreaction.photosystem I.PSI polypeptide subunits	light_reaction
Sobic.001G314200	PS.lightreaction.photosystem I.PSI polypeptide subunits	light_reaction
Sobic.009G229700	PS.lightreaction.photosystem I.PSI polypeptide subunits	light_reaction
Sobic.008G063500	PS.lightreaction.photosystem I.PSI polypeptide subunits	light_reaction
Sobic.002G033900	PS.lightreaction.photosystem I.PSI polypeptide subunits	light_reaction
Sobic.002G242000	PS.lightreaction.photosystem I.PSI polypeptide subunits	light_reaction
Sobic.001G046900	PS.lightreaction.photosystem I.PSI polypeptide subunits	light_reaction
Sobic.006G073500	PS.lightreaction.photosystem I.PSI polypeptide subunits	light_reaction
Sobic.001G314200	PS.lightreaction.photosystem I.PSI polypeptide subunits	light_reaction
Sobic.001G070500	PS.lightreaction.photosystem I.PSI polypeptide subunits	light_reaction
Sobic.003G052500	PS.lightreaction.photosystem I.PSI polypeptide subunits	light_reaction
Sobic.001G078000	PS.lightreaction.cytochrome b6/f	light_reaction
Sobic.003G440500	PS.lightreaction.cytochrome b6/f	light_reaction
Sobic.009G143100	PS.lightreaction.cytochrome b6/f.iron sulfur subunit	light_reaction
Sobic.003G168700	PS.lightreaction.cytochrome b6/f.cytochrome b6 (CYB6)	light_reaction
Sobic.001G098800	PS.lightreaction.ATP synthase	light_reaction
Sobic.003G253300	PS.lightreaction.ATP synthase	light_reaction
Sobic.003G253300	PS.lightreaction.ATP synthase	light_reaction
Sobic.002G316700	PS.lightreaction.ATP synthase.gamma chain	light_reaction
Sobic.001G457000	PS.lightreaction.ATP synthase.gamma chain	light_reaction
