Orthogroup	Sorghum	Rice
OG0001153	Sobic.010G276200.1.p pacid=37908432 transcript=Sobic.010G276200.1 locus=Sobic.010G276200 ID=Sobic.010G276200.1.v3.2 annot-version=v3.1.1	LOC_Os05g09050.1 pacid=33158945 transcript=LOC_Os05g09050.1 locus=LOC_Os05g09050 ID=LOC_Os05g09050.1.MSUv7.0 annot-version=v7.0
OG0011747	Sobic.010G080700.2.p pacid=37908434 transcript=Sobic.010G080700.2 locus=Sobic.010G080700 ID=Sobic.010G080700.2.v3.2 annot-version=v3.1.1	LOC_Os03g28960.1 pacid=33129924 transcript=LOC_Os03g28960.1 locus=LOC_Os03g28960 ID=LOC_Os03g28960.1.MSUv7.0 annot-version=v7.0
OG0011010	Sobic.010G107601.1.p pacid=37908439 transcript=Sobic.010G107601.1 locus=Sobic.010G107601 ID=Sobic.010G107601.1.v3.2 annot-version=v3.1.1	"LOC_Os10g21216.1 pacid=33102473 transcript=LOC_Os10g21216.1 locus=LOC_Os10g21216 ID=LOC_Os10g21216.1.MSUv7.0 annot-version=v7.0, LOC_Os04g16878.1 pacid=33112700 transcript=LOC_Os04g16878.1 locus=LOC_Os04g16878 ID=LOC_Os04g16878.1.MSUv7.0 annot-version=v7.0, LOC_Os01g58039.1 pacid=33119197 transcript=LOC_Os01g58039.1 locus=LOC_Os01g58039 ID=LOC_Os01g58039.1.MSUv7.0 annot-version=v7.0, LOC_Os02g24626.1 pacid=33136335 transcript=LOC_Os02g24626.1 locus=LOC_Os02g24626 ID=LOC_Os02g24626.1.MSUv7.0 annot-version=v7.0"
OG0007567	Sobic.010G251400.1.p pacid=37908440 transcript=Sobic.010G251400.1 locus=Sobic.010G251400 ID=Sobic.010G251400.1.v3.2 annot-version=v3.1.1	LOC_Os05g23130.1 pacid=33158869 transcript=LOC_Os05g23130.1 locus=LOC_Os05g23130 ID=LOC_Os05g23130.1.MSUv7.0 annot-version=v7.0
OG0002588	Sobic.010G253200.3.p pacid=37908442 transcript=Sobic.010G253200.3 locus=Sobic.010G253200 ID=Sobic.010G253200.3.v3.2 annot-version=v3.1.1	LOC_Os06g48940.1 pacid=33148383 transcript=LOC_Os06g48940.1 locus=LOC_Os06g48940 ID=LOC_Os06g48940.1.MSUv7.0 annot-version=v7.0
OG0006269	Sobic.010G240500.2.p pacid=37908444 transcript=Sobic.010G240500.2 locus=Sobic.010G240500 ID=Sobic.010G240500.2.v3.2 annot-version=v3.1.1	LOC_Os06g47550.1 pacid=33146724 transcript=LOC_Os06g47550.1 locus=LOC_Os06g47550 ID=LOC_Os06g47550.1.MSUv7.0 annot-version=v7.0
OG0005155	Sobic.010G115200.1.p pacid=37908449 transcript=Sobic.010G115200.1 locus=Sobic.010G115200 ID=Sobic.010G115200.1.v3.2 annot-version=v3.1.1	LOC_Os06g16290.1 pacid=33148535 transcript=LOC_Os06g16290.1 locus=LOC_Os06g16290 ID=LOC_Os06g16290.1.MSUv7.0 annot-version=v7.0
OG0005969	Sobic.010G014900.1.p pacid=37908450 transcript=Sobic.010G014900.1 locus=Sobic.010G014900 ID=Sobic.010G014900.1.v3.2 annot-version=v3.1.1	"LOC_Os06g02940.1 pacid=33145641 transcript=LOC_Os06g02940.1 locus=LOC_Os06g02940 ID=LOC_Os06g02940.1.MSUv7.0 annot-version=v7.0, LOC_Os06g03070.1 pacid=33147441 transcript=LOC_Os06g03070.1 locus=LOC_Os06g03070 ID=LOC_Os06g03070.1.MSUv7.0 annot-version=v7.0, LOC_Os06g02810.1 pacid=33148549 transcript=LOC_Os06g02810.1 locus=LOC_Os06g02810 ID=LOC_Os06g02810.1.MSUv7.0 annot-version=v7.0, LOC_Os06g02670.1 pacid=33148699 transcript=LOC_Os06g02670.1 locus=LOC_Os06g02670 ID=LOC_Os06g02670.1.MSUv7.0 annot-version=v7.0, LOC_Os06g03110.1 pacid=33148723 transcript=LOC_Os06g03110.1 locus=LOC_Os06g03110 ID=LOC_Os06g03110.1.MSUv7.0 annot-version=v7.0, LOC_Os06g03030.1 pacid=33149270 transcript=LOC_Os06g03030.1 locus=LOC_Os06g03030 ID=LOC_Os06g03030.1.MSUv7.0 annot-version=v7.0, LOC_Os06g02840.1 pacid=33149495 transcript=LOC_Os06g02840.1 locus=LOC_Os06g02840 ID=LOC_Os06g02840.1.MSUv7.0 annot-version=v7.0"
OG0001894	Sobic.010G250100.1.p pacid=37908451 transcript=Sobic.010G250100.1 locus=Sobic.010G250100 ID=Sobic.010G250100.1.v3.2 annot-version=v3.1.1	LOC_Os06g48610.1 pacid=33149367 transcript=LOC_Os06g48610.1 locus=LOC_Os06g48610 ID=LOC_Os06g48610.1.MSUv7.0 annot-version=v7.0
OG0002433	"Sobic.010G213100.1.p pacid=37908452 transcript=Sobic.010G213100.1 locus=Sobic.010G213100 ID=Sobic.010G213100.1.v3.2 annot-version=v3.1.1, Sobic.010G213000.1.p pacid=37912177 transcript=Sobic.010G213000.1 locus=Sobic.010G213000 ID=Sobic.010G213000.1.v3.2 annot-version=v3.1.1, Sobic.003G177000.1.p pacid=37916817 transcript=Sobic.003G177000.1 locus=Sobic.003G177000 ID=Sobic.003G177000.1.v3.2 annot-version=v3.1.1, Sobic.007G076600.1.p pacid=37934844 transcript=Sobic.007G076600.1 locus=Sobic.007G076600 ID=Sobic.007G076600.1.v3.2 annot-version=v3.1.1"	LOC_Os01g34350.1 pacid=33120980 transcript=LOC_Os01g34350.1 locus=LOC_Os01g34350 ID=LOC_Os01g34350.1.MSUv7.0 annot-version=v7.0
