Gene-ID	Family
LOC-Os01g04750	RAV
LOC-Os01g04800	RAV
LOC-Os05g47650	RAV
LOC-Os01g49830	RAV
LOC-Os01g01290	NF-YC
LOC-Os01g01430	NAC
LOC-Os01g01470	NAC
LOC-Os01g01600	bHLH
LOC-Os01g01840	bHLH
LOC-Os01g01870	bHLH
LOC-Os01g02110	bHLH
LOC-Os01g03890	LBD
LOC-Os01g06550	NF-X1
LOC-Os01g06640	bHLH
LOC-Os01g06640	bHLH
LOC-Os01g06852	FAR1
LOC-Os01g07480	LBD
LOC-Os01g07480	LBD
LOC-Os01g07880	bZIP
LOC-Os01g08180	BES1
LOC-Os01g08710	WRKY
LOC-Os01g08710	WRKY
LOC-Os01g08790	NF-YC
LOC-Os01g09080	WRKY
LOC-Os01g09100	WRKY
LOC-Os01g09550	NAC
LOC-Os01g09550	NAC
LOC-Os01g09550	NAC
LOC-Os01g09550	NAC
LOC-Os01g09720	Dof
LOC-Os01g09900	bHLH
LOC-Os01g09930	bHLH
LOC-Os01g09940	bHLH
LOC-Os01g09990	bHLH
LOC-Os01g09990	bHLH
LOC-Os01g10610	BES1
LOC-Os01g11350	bZIP
LOC-Os01g11550	TCP
LOC-Os01g11910	bHLH
LOC-Os01g13460	bHLH
LOC-Os01g13540	Nin-like
LOC-Os01g14030	LBD
LOC-Os01g14420	Nin-like
LOC-Os01g14440	WRKY
LOC-Os01g14720	GeBP
LOC-Os01g15640	NAC
LOC-Os01g15900	Dof
LOC-Os01g16660	FAR1
LOC-Os01g16740	FAR1
LOC-Os01g17000	Dof
LOC-Os01g17260	bZIP
LOC-Os01g17260	bZIP
LOC-Os01g18584	WRKY
LOC-Os01g18850	SBP
LOC-Os01g18850	SBP
LOC-Os01g18850	SBP
LOC-Os01g18850	SBP
LOC-Os01g18870	bHLH
LOC-Os01g19050	FAR1
LOC-Os01g21590	Trihelix
LOC-Os01g23840	FAR1
LOC-Os01g24070	GATA
LOC-Os01g24070	GATA
LOC-Os01g24460	NF-YC
LOC-Os01g28050	NAC
LOC-Os01g29840	NAC
LOC-Os01g32770	LBD
LOC-Os01g32890	GeBP
LOC-Os01g33400	bHLH
LOC-Os01g36220	bZIP
LOC-Os01g37100	Nin-like
LOC-Os01g38610	bHLH
LOC-Os01g39020	HSF
LOC-Os01g39040	LBD
LOC-Os01g39070	LBD
LOC-Os01g39150	LBD
LOC-Os01g39160	LBD
LOC-Os01g39180	LBD
LOC-Os01g39220	LBD
LOC-Os01g39330	bHLH
LOC-Os01g39480	bHLH
LOC-Os01g39580	bHLH
LOC-Os01g39850	NF-YC
LOC-Os01g40260	WRKY
LOC-Os01g40430	WRKY
LOC-Os01g43550	WRKY
LOC-Os01g43550	WRKY
LOC-Os01g43590	HSF
LOC-Os01g43590	HSF
LOC-Os01g43650	WRKY
LOC-Os01g43650	WRKY
LOC-Os01g44430	ZF-HD
LOC-Os01g45860	GRAS
LOC-Os01g46800	WRKY
LOC-Os01g46970	bZIP
LOC-Os01g46970	bZIP
LOC-Os01g47360	GATA
LOC-Os01g47560	WRKY
LOC-Os01g47670	NAC
LOC-Os01g48130	NAC
LOC-Os01g48130	NAC
LOC-Os01g48290	Dof
LOC-Os01g48320	Trihelix
LOC-Os01g48446	NAC
LOC-Os01g48470	LFY
LOC-Os01g48700	E2F/DP
LOC-Os01g50940	bHLH
LOC-Os01g51140	bHLH
LOC-Os01g51140	bHLH
LOC-Os01g51690	WRKY
LOC-Os01g52090	Trihelix
LOC-Os01g52090	Trihelix
LOC-Os01g53040	WRKY
LOC-Os01g53220	HSF
LOC-Os01g53260	WRKY
LOC-Os01g54210	GATA
LOC-Os01g54550	HSF
LOC-Os01g54600	WRKY
LOC-Os01g54930	VOZ
LOC-Os01g55150	bZIP
LOC-Os01g55340	Dof
LOC-Os01g55580	CPP
LOC-Os01g55580	CPP
LOC-Os01g55750	TCP
LOC-Os01g55750	TCP
LOC-Os01g55750	TCP
LOC-Os01g56530	LBD
LOC-Os01g56690	bHLH
LOC-Os01g57580	bHLH
LOC-Os01g58760	bZIP
LOC-Os01g59350	bZIP
LOC-Os01g59350	bZIP
LOC-Os01g59640	NAC
LOC-Os01g59760	bZIP
LOC-Os01g60020	NAC
LOC-Os01g60490	WRKY
LOC-Os01g60520	WRKY
LOC-Os01g60540	WRKY
LOC-Os01g60600	WRKY
LOC-Os01g60640	WRKY
LOC-Os01g60960	LBD
LOC-Os01g61080	WRKY
LOC-Os01g61480	bHLH
LOC-Os01g61810	NF-YB
LOC-Os01g61810	NF-YB
LOC-Os01g62460	GRAS
LOC-Os01g62460	GRAS
LOC-Os01g62460	GRAS
LOC-Os01g62510	WRKY
LOC-Os01g62514	WRKY
LOC-Os01g63030	FAR1
LOC-Os01g63380	FAR1
LOC-Os01g64000	bZIP
LOC-Os01g64000	bZIP
LOC-Os01g64000	bZIP
LOC-Os01g64020	bZIP
LOC-Os01g64020	bZIP
LOC-Os01g64310	NAC
LOC-Os01g64310	NAC
LOC-Os01g64560	bHLH
LOC-Os01g64560	bHLH
LOC-Os01g64590	Dof
LOC-Os01g64730	bZIP
LOC-Os01g65900	GRAS
LOC-Os01g66120	NAC
LOC-Os01g66120	NAC
LOC-Os01g66490	NAC
LOC-Os01g66590	LBD
LOC-Os01g66590	LBD
LOC-Os01g66590	LBD
LOC-Os01g67480	bHLH
LOC-Os01g67650	GRAS
LOC-Os01g67670	GRAS
LOC-Os01g68700	bHLH
LOC-Os01g68700	bHLH
LOC-Os01g69830	SBP
LOC-Os01g69910	CAMTA
LOC-Os01g69910	CAMTA
LOC-Os01g69980	TCP
LOC-Os01g70110	NAC
LOC-Os01g70230	Trihelix
LOC-Os01g70310	bHLH
LOC-Os01g70310	bHLH
LOC-Os01g70880	NF-YB
LOC-Os01g70890	NF-YB
LOC-Os01g71790	NAC
LOC-Os01g71850	FAR1
LOC-Os01g71970	GRAS
LOC-Os01g72370	bHLH
LOC-Os01g72370	bHLH
LOC-Os01g72370	bHLH
LOC-Os01g72490	SRS
LOC-Os01g72490	SRS
LOC-Os01g74140	WRKY
LOC-Os01g74540	GATA
LOC-Os02g01380	Trihelix
LOC-Os02g01860	FAR1
LOC-Os02g01950	FAR1
LOC-Os02g02480	bHLH
LOC-Os02g02480	bHLH
LOC-Os02g02480	bHLH
LOC-Os02g02820	bHLH
LOC-Os02g03580	bZIP
LOC-Os02g03580	bZIP
LOC-Os02g03690	BES1
LOC-Os02g03960	bZIP
LOC-Os02g04340	Nin-like
LOC-Os02g04680	SBP
LOC-Os02g04680	SBP
LOC-Os02g05510	GATA
LOC-Os02g05510	GATA
LOC-Os02g06370	Whirly
LOC-Os02g06950	NAC
LOC-Os02g07450	NF-YC
LOC-Os02g07450	NF-YC
LOC-Os02g07780	SBP
LOC-Os02g07780	SBP
LOC-Os02g07800	Trihelix
LOC-Os02g07840	bZIP
LOC-Os02g07840	bZIP
LOC-Os02g08070	SBP
LOC-Os02g08440	WRKY
LOC-Os02g08440	WRKY
LOC-Os02g08440	WRKY
LOC-Os02g08440	WRKY
LOC-Os02g08540	bZIP
LOC-Os02g09830	bZIP
LOC-Os02g10140	bZIP
LOC-Os02g10360	GRAS
LOC-Os02g10840	FAR1
LOC-Os02g10860	bZIP
LOC-Os02g12310	NAC
LOC-Os02g12790	GATA
LOC-Os02g12820	bHLH
LOC-Os02g13670	bHLH
LOC-Os02g13800	HSF
LOC-Os02g13900	BES1
LOC-Os02g14910	bZIP
LOC-Os02g15340	NAC
LOC-Os02g15350	Dof
LOC-Os02g15760	bHLH
LOC-Os02g16140	FAR1
LOC-Os02g16240	FAR1
LOC-Os02g16540	WRKY
LOC-Os02g16680	bZIP
LOC-Os02g16680	bZIP
LOC-Os02g17460	CPP
LOC-Os02g18370	FAR1
LOC-Os02g18460	NAC
LOC-Os02g18470	NAC
LOC-Os02g18660	GeBP
LOC-Os02g21685	GRAS
LOC-Os02g23823	bHLH
LOC-Os02g23823	bHLH
LOC-Os02g23823	bHLH
LOC-Os02g25470	FAR1
LOC-Os02g26430	WRKY
LOC-Os02g26780	FAR1
LOC-Os02g28180	FAR1
LOC-Os02g29340	HSF
LOC-Os02g29640	FAR1
LOC-Os02g31160	Trihelix
LOC-Os02g31850	FAR1
LOC-Os02g32590	HSF
LOC-Os02g32590	HSF
LOC-Os02g33430	E2F/DP
LOC-Os02g33430	E2F/DP
LOC-Os02g33560	bZIP
LOC-Os02g33610	Trihelix
LOC-Os02g33750	FAR1
LOC-Os02g33750	FAR1
LOC-Os02g33770	Trihelix
LOC-Os02g34320	bHLH
LOC-Os02g34370	bHLH
LOC-Os02g34520	FAR1
LOC-Os02g34590	FAR1
LOC-Os02g34970	NAC
LOC-Os02g35660	bHLH
LOC-Os02g35690	Trihelix
LOC-Os02g35690	Trihelix
LOC-Os02g36510	EIL
LOC-Os02g36880	NAC
LOC-Os02g36880	NAC
LOC-Os02g36880	NAC
LOC-Os02g36880	NAC
LOC-Os02g38130	NAC
LOC-Os02g39140	bHLH
LOC-Os02g39220	FAR1
LOC-Os02g39520	FAR1
LOC-Os02g39520	FAR1
LOC-Os02g39540	FAR1
LOC-Os02g39540	FAR1
LOC-Os02g40950	FAR1
LOC-Os02g41450	NAC
LOC-Os02g42380	TCP
LOC-Os02g42950	YABBY
LOC-Os02g42950	YABBY
LOC-Os02g42970	NAC
LOC-Os02g43150	GATA
LOC-Os02g43150	GATA
LOC-Os02g43300	Trihelix
LOC-Os02g43560	WRKY
LOC-Os02g44360	GRAS
LOC-Os02g44370	GRAS
LOC-Os02g45200	Dof
LOC-Os02g45200	Dof
LOC-Os02g45200	Dof
LOC-Os02g45200	Dof
LOC-Os02g45760	GRAS
LOC-Os02g46560	bHLH
LOC-Os02g47060	WRKY
LOC-Os02g47660	bHLH
LOC-Os02g47770	ZF-HD
LOC-Os02g47810	Dof
LOC-Os02g48060	bHLH
LOC-Os02g48270	LBD
LOC-Os02g49370	NF-YB
LOC-Os02g49370	NF-YB
LOC-Os02g49410	NF-YB
LOC-Os02g49440	Dof
LOC-Os02g49480	bHLH
LOC-Os02g49560	bZIP
LOC-Os02g50630	E2F/DP
